"gdp_pps","unemployment","life_expectancy","disposable_income","poverty_risk","early_school_leaving","tertiary_edu","emp_agriculture","emp_industry","emp_services","rd_expenditure","pop_density","renewables_share","ghg_emissions","municipal_waste","geo","country"
29300,11.4,82.3,80,35.5,10.9,38.4,2.04239667021586,6.68860710483012,23.4633626948021,2.59,105.4,19.391,334083317.76,564,"FRJ1","FR"
33300,6.1,83.5,91,16.4,6.7,44.2,3.40873876665634,12.6898047722343,18.3064766036566,4.44,68.5,19.391,334083317.76,564,"FRJ2","FR"
30100,7,82.1,82,9.2,10.8,30.2,4.15435745937962,17.1528803545052,19.5531757754801,2.15,52.6,19.391,334083317.76,564,"FRK1","FR"
37200,7.2,83.8,101,14.7,7.4,44.6,1.77099343300265,15.2962134972754,20.7628894788319,3,152,19.391,334083317.76,564,"FRK2","FR"
38500,8.1,82.4,105,13.8,8.1,40.8,1.15838031778575,8.33418759610456,23.2137365453614,2.16,163.5,19.391,334083317.76,564,"FRL0","FR"
31500,9.1,83.4,86,32.5,14.6,27.8,3.05196590596646,6.66131621187801,31.0593900481541,0.37,39.8,19.391,334083317.76,564,"FRM0","FR"
25100,17.1,77.6,68,37.8,12.4,23.4,2.37892948173322,8.49617672047579,24.553950722175,1.49,244.2,19.391,334083317.76,564,"FRY1","FR"
25100,12.8,78.2,68,29.2,12.4,29.4,3.7593984962406,6.51629072681704,19.2982456140351,0.91,325,19.391,334083317.76,564,"FRY2","FR"
17800,14.6,77.2,48,19.3,23.3,18.2,5.83058305830583,6.02782071097372,18.3925811437403,0.62,3.5,19.391,334083317.76,564,"FRY3","FR"
24200,17.9,80.9,66,25.8,12.3,24.4,2.93343362166228,6.69424595712674,21.0229409552463,1.67,348.9,19.391,334083317.76,564,"FRY4","FR"
10600,9.5,75.2,50,28.6,2.2,17.8,14.1496958476593,22.8246495636075,18.4342766463898,0.42,45.1,31.285,18361718.21,456,"HR02","HR"
14000,9.2,77.7,66,19.9,1.9,24.9,4.3601130399677,16.1081953976585,34.5781186919661,0.65,55.9,31.285,18361718.21,456,"HR03","HR"
25800,5.3,77.6,121,13.3,3.4,43.9,0.759066629181895,17.4866460500422,25.5833567613157,2.24,30.6,31.285,18361718.21,456,"HR05","HR"
12100,4.6,75.7,57,19.8,2.5,18.1,6.61809350333941,30.4493017607772,22.5865209471767,1.15,127.4,31.285,18361718.21,456,"HR06","HR"
34100,2.9,76.4,158,14.2,5.3,55.6,0.306965761511216,10.6729634002361,21.7591499409681,2.76,3405.9,14.134,51301958.59,420,"HU11","HU"
13200,2.9,74.9,61,18,8.5,33,2.4234892030449,19.4655895603542,28.0720832686034,0.62,207.5,14.134,51301958.59,420,"HU12","HU"
14300,2.1,73.9,66,10.8,11,23.2,3.89761489237929,34.4968004653868,21.175101803374,1.26,99.2,14.134,51301958.59,420,"HU21","HU"
